"id","alat","alon","address","district","plz","educational","topics","languages","name","type","parent","parentType","mo_o","mo_c","tu_o","tu_c","we_o","we_c","th_o","th_c","fr_o","fr_c","all","over","under"
"2298","52.53281","13.34674","Havelberger Str. 21","Moabit","10559","2","0|1|2|3|4|6","","Kita Havelberger Str. 21/Kigä City","0","37","0","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","55","31","24"
"544","52.55709","13.22956","Ruppiner-See-Str. 74","Haselhorst","13599","","","","Kita Haveleck","0","726","1","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","06:30","17:00","110","77","33"
"1721","52.51165","13.18697","Jaczostr. 51","Wilhelmstadt","13595","","","","Kita Havelnest","0","551","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","120","82","38"
"1154","52.55722","13.22078","An der Havelspitze 19","Hakenfelde","13587","2","0|1|2|4|6","1","Kita Havelpiraten","0","717","0","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","105","70","35"
"1458","52.57598","13.22503","Luisenstr. 21","Konradshöhe","13505","2|3","0|2","","Kita Havelsternchen","0","717","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","17:30","82","53","29"
"2176","52.5472","13.50523","Heckelberger Ring 1","Alt-Hohenschönhausen","13055","1","","","Kita Heckelberger Ring   1/3/Kigä NordOst","0","0","0","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","90","67","23"
"2938","52.46204","13.43568","Wederstr. 87 -89","Britz","12347","2","2","","Kita Hedwig und","0","949","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","20","16","4"
"754","52.47158","13.33814","Hedwigstr. 13","Schöneberg","12159","2","2","","Kita Hedwigstr.","0","722","1","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","07:30","16:30","56","41","15"
"624279","52.5249311","13.1398394","Heerstr. 570","Staaken","14055","2","1|2|6","","Kita Heerstraße","0","714","1","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","06:00","18:00","190","130","60"
"2738","52.46766","13.47719","Heidekampweg 103","Baumschulenweg","12437","32","","","Kita Heidekampweg","0","661","1","06:30","17:30","06:30","17:30","06:30","17:30","06:30","17:30","06:30","17:00","150","128","22"
"1936","52.46284","13.48723","Heidemühler Weg 37 / 39","Baumschulenweg","12437","","","","Kita Heidemühler Rasselbande/Kitas SüdOst","0","6","0","0","0","0","0","0","0","0","0","0","0","117","73","44"
"1669","52.51316","13.25914","Preußenallee 25","Westend","14052","26","","","Kita Heilig Geist","0","950","5","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","56","46","10"
"1416","52.44997","13.44028","Alt-Britz 41","Britz","12359","","","","Kita Heiliger Schutzengel/Kath.Kg.Bruder Klaus","0","859","5","0","0","0","0","0","0","0","0","0","0","50","40","10"
"530279","52.53211","13.61647","Riesaer Str. 79A","Hellersdorf","12627","2","4|6|7","","Kita Helles Nest","0","528","1","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","59","37","22"
"105","52.54308","13.42002","Lettestr. 4 - 5","Prenzlauer Berg","10437","2","","","Kita Helmistrolche","0","725","1","07:00","17:30","07:00","17:30","07:00","17:30","07:00","17:30","07:00","17:30","72","55","17"
"1457","52.62348","13.22549","Hennigsdorfer Str. 130","Heiligensee","13503","","","","Kita Hennigsdorfer Straße","0","717","0","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","06:00","17:30","138","91","47"
