id;address;district;plz;educational;topics;languages;name;type;parent;parenttype;mo_o;mo_c;tu_o;tu_c;we_o;we_c;th_o;th_c;fr_o;fr_c;all;over;under
2541;Benjamin-Vogelsdorff-Str. 3;Pankow;13187;2;1|2;;KITA Villa Sternenschiff;0;771;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;45;34;11
688379;Bahnhofstr. 1;Französisch Buchholz;13129;;;;Kita Villa Universum;0;1134;1;0;0;0;0;0;0;0;0;0;0;41;null;null
273129;Friedrich-Wilhelm-Str. 21;Tempelhof;12103;2;0|2|3|4;0|2|3;Kita Villa Wackelzahn;0;281;2;07:30;16:00;07:30;16:00;07:30;16:00;07:30;16:00;07:30;16:00;25;5;20
566229;Friedenstr. 14;Adlershof;12489;0;1;;Kita Vitale Großstadtmäuse II;0;1076;1;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;20;10;10
1750;Galenstr. 29;Spandau;13597;;;;Kita Vogelnest;0;551;1;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;06:00;17:30;110;99;11
1881;Vorbergstr. 15;Schöneberg;10827;2;2;;Kita Vorbergstraße;0;722;1;07:00;18:00;07:00;18:00;07:00;18:00;07:00;18:00;07:00;18:00;153;105;48
2136;Schwabenallee 86;Biesdorf;12683;2;;;Kita Waldhäuschen;0;1053;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;55;43;12
1491;Stolpmünder Weg 35;Heiligensee;13503;;;;Kita Waldkirche/Ev.Kg.Bln-Heiligensee;0;788;4;06:00;16:30;06:00;16:30;06:00;16:30;06:00;16:30;06:00;16:30;67;67;0
1237;Rabenstr. 41;Konradshöhe;13505;;;;Kita Waldmäuse e.V./Waldabschni.Konradshöhe/Reiherberg;1;1135;2;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;08:00;17:00;39;29;10
1475;Waldshuter Zeile 8;Waidmannslust;13469;2;4;;Kita Waldshuter Zeile;0;714;1;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;06:00;18:00;120;80;40
1944;Adlergestell 592;Grünau;12527;13|0|2;1|2|4|6;;Kita Waldspielhaus;0;15;1;06:30;17:30;06:30;17:30;06:30;17:30;06:30;17:30;06:30;17:30;78;48;30
598229;An der Wuhlheide 173;Oberschöneweide;12555;;;;Kita Waldwurzelzwerge;2;1044;1;0;0;0;0;0;0;0;0;0;0;15;null;null
1650;Walter-Benjamin-Platz 7;Charlottenburg;10629;;2|4|6;;Kita Walter-Benjamin-Platz;0;717;0;07:00;17:00;07:00;17:00;07:00;17:00;07:00;17:00;07:00;16:00;116;98;18
