street,plz
Kniprodestraße,10407
Liselotte-Herrmann-Straße,10407
Spremberger Straße,12627
Nordring,12681
Schwalbacher Straße,12161
Hoyerswerdaer Straße,12627
Laubacher Straße,14197
Fercher Straße,12629
Alt-Hellersdorf,12629
Neuruppiner Straße,12629
Havelländer Ring,12629
Achillesstraße,13125
Zum Erlengrund,13587
Johannes-Bobrowski-Straße,12627
Zu den Fichtewiesen,13587
Brauereihof,13585
Frieda-Arnheim-Promenade,13585
Eiswerderstraße,13585
Sybelstraße,10629
Mathilde-Jacob-Platz,10551
Waitzstraße,10629
Giesebrechtstraße,10629
Ancillonweg,13127
Münchehagenstraße,13125
Cevennenstraße,13127
Lewishamstraße,10629
Darbystraße,13589
Sportforumstraße,14053
Georg-Wilhelm-Straße,10711
Am Güterbahnhof Halensee,10711
Siverstorpstraße,13125
Hohenzollernplatz,10717
Nachodstraße,10779
Verlängerte Werderstraße,12524
Badensche Straße,10715
Forstamt Grunewald Revierförsterei Saubucht,14129
Porzer Straße,12524
Brabanter Platz,10713
Blissestraße,10713
