id,lat,lon,e,alat,alon,educational,topics,languages,name,type,parent,parenttype,mo_o,mo_c,tu_o,tu_c,we_o,we_c,th_o,th_c,fr_o,fr_c,all,over,under
122,52.55274319999999,13.4137927,0,52.55278,13.41392,,,,"Evangelische Kita Arche",0,509,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,50,43,7
2419,52.5027059,13.401651,1,52.49019,13.39384,,,,"Evangelische Kita Arche",0,498,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,98,98,0
2194,52.5536654,13.5035574,0,52.55367,13.50362,,,,"Evangelische Kita Arche Noah",0,498,4,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,48,48,0
1783,52.4851564,13.3238016,0,52.48516,13.32379,"2","0|4|7",,"Evangelische Kita Auen",0,496,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:00,73,63,10
1660,52.5395991,13.2998172,0,52.53966,13.30004,"4","0|1|2|4|7",,"Evangelische Kita Plötzensee",0,510,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,16:30,65,25,40
775229,52.59508289999999,13.3542346,1,52.60239,13.35953,,,,"Evangelische Kita Regenbogen",0,498,4,0,0,0,0,0,0,0,0,0,0,135,null,null
393129,52.5070391,13.3283954,0,52.51517,13.33466,,,,"Evangelische Kita St. Ursula",0,498,4,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,50,50,0
123,52.53476,13.42673,0,52.53484,13.42646,,,,"Evangelische Kita Winsstraße",0,509,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,50,43,7
404,52.419446,13.2758871,1,52.42235,13.26012,"2",,,"Evangelische Kita Zur Heimat",0,511,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,70,70,0
2291,52.5522651,13.4593033,0,52.55171,13.45904,,,,"Evangelische Stephanus-Kita",0,509,4,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,07:00,17:00,51,33,18
1943,52.3994711,13.5806814,0,52.40008,13.58137,"5",,,"Evangelischer Forscherkindergarten Apfelbäumchen",0,512,4,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,06:00,17:00,50,50,0
272129,52.5733,13.4024,0,52.57331,13.4023,"16",,,"Filiale Rudolf-Ditzen-Weg",0,513,1,0,0,0,0,0,0,0,0,0,0,28,28,0
2831,52.53395,13.4062,0,52.53375,13.40618,"10|16",,,"Fliederhof Waldorfkindergarten Berlin-Mitte",1,514,2,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,41,32,9
1854,52.44654999999999,13.30153,0,52.44638,13.30124,"25",,"1","FlowerKids Kindergarten",0,515,1,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,07:00,17:30,73,55,18
358129,52.54599,13.41073,0,52.54594,13.41056,"24",,,"Folli Folletti",1,516,2,08:15,17:15,08:15,17:15,08:15,17:15,08:15,17:15,08:15,17:15,20,20,0
106129,52.5480801,13.42292,0,52.54802,13.42283,"2",,,"Freche Fledermäuse",0,517,1,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,08:00,17:00,22,8,14
556229,52.5545209,13.4097092,0,52.55447,13.40976,"2|3","1|3|4|6",,"Freude Kindergarten",0,518,1,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,28,18,10
675229,52.4609452,13.528007,1,52.45804,13.51107,"2|3","1|3|4|6",,"freude Kita Niederschöneweide",0,518,1,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,31,21,10
770229,52.4609452,13.528007,1,52.45787,13.5116,"2","1|3|4|6",,"FREUDE Kita Niederschöneweide 2",0,518,1,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,07:30,16:30,39,24,15
661229,52.52931,13.41319,0,52.52905,13.41359,,,,"Fröbel Kindergarten",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,120,72,48
522,52.5123443,13.4055432,0,52.5123,13.40558,"12",,,"FRÖBEL Kindergarten Schatzinsel",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,225,156,69
19,52.52346,13.42097,0,52.52336,13.42123,"6|2",,,"FRÖBEL Kindergarten Traumzauberbaum",0,8,1,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,240,142,98
810,52.5149449,13.4723379,0,52.51493,13.47214,"6",,,"FRÖBEL Kindergarten Am Ring",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,240,157,83
1280,52.4429743,13.3134234,0,52.44283,13.31388,"6",,,"FRÖBEL Kindergarten Augustastrolche",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,160,115,45
294129,52.434901,13.534136,0,52.43487,13.53426,,,,"FRÖBEL Kindergarten Campus Kids",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,93,59,34
3,52.53532,13.39919,0,52.53523,13.39925,"24|12",,,"FRÖBEL Kindergarten Casa Fantasia",0,8,1,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,69,44,25
