ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_E;E_EM;E_EW;E_E00_01;E_E01_02;E_E02_03;E_E03_05;E_E05_06;E_E06_07;E_E07_08;E_E08_10;E_E10_12;E_E12_14;E_E14_15;E_E15_18;E_E18_21;E_E21_25;E_E25_27;E_E27_30;E_E30_35;E_E35_40;E_E40_45;E_E45_50;E_E50_55;E_E55_60;E_E60_63;E_E63_65;E_E65_67;E_E67_70;E_E70_75;E_E75_80;E_E80_85;E_E85_90;E_E90_95;E_E95_110;E_EU1;E_E1U6;E_E6U15;E_E15U18;E_E18U25;E_E25U55;E_E55U65;E_E65U80;E_E80U110
201612;11041022;11;04;10;22;2;5448;2818;2630;43;38;53;85;40;28;28;43;56;70;30;71;140;361;270;452;488;387;223;285;309;289;166;110;63;95;266;526;288;114;31;0;43;216;255;71;501;2414;565;950;433
201612;11041023;11;04;10;23;2;5980;2917;3063;70;79;58;152;63;69;70;107;104;91;34;130;152;272;201;389;552;447;283;334;372;332;211;168;167;201;268;257;192;85;46;24;70;352;475;130;424;2578;711;893;347
201612;11041027;11;04;10;27;2;3033;1553;1480;44;42;42;71;30;27;27;51;49;34;18;77;83;156;107;193;316;216;144;159;171;204;128;60;71;78;118;145;91;63;12;6;44;185;206;77;239;1306;392;412;172
201612;11041128;11;04;11;28;2;25108;11747;13361;205;211;213;345;196;176;159;310;299;294;136;429;510;1089;794;1362;1893;1481;1032;1240;1581;1441;768;542;578;862;1758;2583;1564;776;212;69;205;965;1374;429;1599;9383;2751;5781;2621
201612;11051229;11;05;12;29;2;3494;1792;1702;57;50;81;135;69;42;42;112;81;69;25;77;60;50;42;137;343;416;326;316;227;181;86;56;41;51;94;105;79;32;9;3;57;335;371;77;110;1807;323;291;123
201612;11051330;11;05;13;30;2;9336;4628;4708;143;123;133;213;76;99;84;164;128;114;37;159;257;552;409;627;1076;899;534;630;685;546;261;168;140;160;278;281;183;116;44;17;143;545;626;159;809;4860;975;859;360
201612;11051331;11;05;13;31;2;11073;5455;5618;137;122;134;270;117;115;128;232;229;228;103;271;334;375;218;522;862;826;715;812;898;706;362;227;205;256;436;643;311;182;82;15;137;643;1035;271;709;4853;1295;1540;590
201612;11051332;11;05;13;32;2;6668;3250;3418;93;96;108;208;123;138;121;207;183;135;75;175;140;136;99;166;457;665;591;594;574;376;169;111;115;136;193;195;163;91;19;16;93;535;859;175;276;3146;656;639;289
201612;12103115;12;10;31;15;2;7568;3753;3815;81;60;78;143;63;71;54;112;97;105;54;164;208;429;276;418;626;518;461;548;615;504;260;146;167;210;301;386;234;136;40;3;81;344;493;164;637;3462;910;1064;413
201612;12103116;12;10;31;16;2;9479;4782;4697;106;122;109;220;91;100;81;192;157;172;76;269;312;557;350;629;809;652;615;646;799;623;287;175;177;195;295;305;206;103;39;10;106;542;778;269;869;4500;1085;972;358
201612;12103117;12;10;31;17;2;10672;5463;5209;112;127;123;218;129;110;93;185;210;169;93;270;323;680;456;703;955;761;681;642;811;671;365;217;186;274;358;380;242;89;33;6;112;597;860;270;1003;5009;1253;1198;370
201612;12103218;12;10;32;18;2;13515;6624;6891;138;133;151;267;126;110;112;199;207;221;104;321;471;804;515;735;1004;832;714;933;1078;915;426;264;271;372;576;664;438;241;140;33;138;677;953;321;1275;5811;1605;1883;852
201612;12103219;12;10;32;19;2;8803;4219;4584;113;92;90;144;87;74;80;138;126;141;52;175;233;472;323;472;699;568;484;528;659;562;294;185;193;289;406;462;308;202;102;50;113;413;611;175;705;3733;1041;1350;662
201612;12103220;12;10;32;20;2;4601;2226;2375;39;49;29;81;33;27;24;58;48;42;23;83;136;201;132;202;342;302;220;342;405;362;183;122;110;131;250;293;194;85;37;16;39;192;222;83;337;1945;667;784;332
201612;12214125;12;21;41;25;2;7315;3971;3344;61;51;72;122;76;57;57;107;99;81;53;195;205;318;162;262;463;510;510;578;692;518;296;161;204;284;405;369;209;94;34;10;61;321;454;195;523;3177;975;1262;347
201612;12214126;12;21;41;26;2;7651;3639;4012;87;67;70;145;48;70;55;127;134;136;62;182;198;339;217;335;507;476;448;552;591;572;289;169;192;289;433;446;235;124;47;9;87;330;584;182;537;3126;1030;1360;415
201612;12214421;12;21;44;21;2;2598;1260;1338;24;22;30;51;24;21;21;46;30;53;9;42;51;109;92;156;197;193;175;212;214;191;83;39;64;93;103;120;84;36;13;0;24;127;180;42;160;1239;313;380;133
